,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
133928,2020-01-09 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,119,55,108
98720,2020-01-09 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,123,51,78
571590,2020-01-09 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,121,50,52
246867,2020-01-09 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,136,55,59
325686,2020-01-09 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,125,59,159
982346,2020-01-09 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,121,59,379
1310060,2020-01-09 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,36,368
482362,2020-01-09 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,91,26,344
627597,2020-01-09 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,32,271
574152,2020-01-09 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,98,29,321
871034,2020-01-09 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,107,28,350
660744,2020-01-09 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,99,26,387
6521,2020-01-09 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,29,367
891166,2020-01-09 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,26,347
1166795,2020-01-09 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,22,395
340598,2020-01-09 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,63,18,335
29241,2020-01-09 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,83,17,304
217349,2020-01-09 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,88,15,284
704635,2020-01-09 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,22,196
668998,2020-01-09 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,31,325
136708,2020-01-09 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,47,291
842101,2020-01-09 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,118,49,220
710315,2020-01-09 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,129,56,224
436717,2020-01-10 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,53,226
113247,2020-01-10 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,133,57,111
585827,2020-01-10 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,139,58,83
649354,2020-01-10 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,7,143,51,50
1054256,2020-01-10 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,137,65,54
136071,2020-01-10 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,7,135,65,166
